,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
y0_anchor_weight,1.0e6
I0_anchor,8.321962009441125e-11
C0_anchor,6.135265179828227e-11
R0_anchor,390.31890306151956
P0_anchor,8.436663204994781e-22
F0_anchor,2.9849769060895106e-20
beta0,1.3836889101596164
gamma,0.11709946111203534
alpha,1.2789902925470507
rho_obs,0.5880789514990281
delta,0.7563442730584351
k,2.226299523060009
log_theta,-0.5510709097283227
I0,1.0
C0,1.0
P0,0.0
F0,0.0
R0,100.0
a1,-0.029659330309573025
b1,0.3704794586940328
a2,-0.15516998317088224
b2,0.24737402406660022
delay_mean,3.985317404708931
