param,grid,negloglik
alpha,0.0,2.0963961510725194e+17
alpha,0.1,2.0963961510106422e+17
alpha,0.2,2.09639615101064e+17
alpha,0.30000000000000004,2.096396151010639e+17
alpha,0.4,2.0963961510106384e+17
alpha,0.5,2.096396151010638e+17
alpha,0.6000000000000001,2.0963961510106378e+17
alpha,0.7000000000000001,2.0963961510106378e+17
alpha,0.8,2.0963961510106378e+17
alpha,0.9,2.096396151010638e+17
alpha,1.0,2.096396151010638e+17
alpha,1.1,2.096396151010638e+17
alpha,1.2000000000000002,2.0963961510106384e+17
alpha,1.3,2.0963961510106384e+17
alpha,1.4000000000000001,2.096396151010638e+17
alpha,1.5,2.096396151010638e+17
alpha,1.6,2.096396151010638e+17
alpha,1.7000000000000002,2.096396151010638e+17
alpha,1.8,2.096396151010638e+17
alpha,1.9000000000000001,2.096396151010638e+17
alpha,2.0,2.096396151010638e+17
