param,grid,negloglik
beta0,0.05,1415.9326857722892
beta0,0.0975,1189.418507385529
beta0,0.14500000000000002,1181.4412464325178
beta0,0.1925,1109.4689618201528
beta0,0.24,1203.564183579559
beta0,0.2875,1084.0494842094622
beta0,0.335,1075.9460370468157
beta0,0.3825,1262.6975297757338
beta0,0.43,544218.3891317989
beta0,0.4775,1255.4008255532294
beta0,0.525,1326.1927655698441
beta0,0.5725,1058.7055337256631
beta0,0.6200000000000001,1154.153387152683
beta0,0.6675000000000001,1071.7770417285094
beta0,0.7150000000000001,1057.130977313864
beta0,0.7625000000000001,1077.1013480042209
beta0,0.81,1061.120913952809
beta0,0.8575,1076.1530963962427
beta0,0.905,1075.5823764298084
beta0,0.9525,1077.0781841408764
beta0,1.0,1083.9238466502306
