param,grid,negloglik
k,0.5,20427562012459.754
k,0.9791666666666667,20427562011516.516
k,1.4583333333333335,20427562008765.2
k,1.9375,20427562009197.41
k,2.416666666666667,20427562009425.875
k,2.8958333333333335,20427562003773.645
k,3.375,20427562008981.93
k,3.854166666666667,20427562008823.215
k,4.333333333333334,20427562008885.406
k,4.8125,20427562008947.867
k,5.291666666666667,20427562009224.05
k,5.770833333333334,20427562009304.39
k,6.25,20427562009215.676
k,6.729166666666667,20427562003399.625
k,7.208333333333334,20427562003481.9
k,7.6875,20427562003442.457
k,8.166666666666668,20427562003463.95
k,8.645833333333334,20427562003549.83
k,9.125,20427562003580.02
k,9.604166666666668,20427562003507.848
k,10.083333333333334,20427562003595.88
k,10.5625,20427561999664.8
k,11.041666666666668,20427562003594.227
k,11.520833333333334,20427562003587.574
k,12.0,20427561999631.734
