mu,inc,y
165.5244702407565,0.0,186.0
142.36343365229786,819.5068027600646,168.0
137.22940041589027,829.9547841530293,218.0
145.28299487910743,842.9368013367057,203.0
156.98269212768554,858.4076617974788,220.0
167.77094847741068,876.3428049962968,193.0
176.56217410926254,896.7360944207758,151.0
183.69177386766245,919.5979567840695,208.0
189.82079971545275,944.9538829158992,249.0
195.5262474731331,972.8432127758861,245.0
201.2123651489445,1003.318141490221,346.0
207.13467163208736,1036.442931028083,331.0
213.44687742346113,1072.2932733483613,286.0
220.24075467377247,1110.955789141357,253.0
227.5733297987293,1152.5276374090463,325.0
235.505307056463,1197.1162154842168,325.0
244.01303669495337,1244.8389396425337,362.0
253.16109830951333,1295.8230735622346,496.0
262.97291522201397,1350.2056371737272,450.0
273.47412470907796,1408.1333231907338,502.0
284.6925378540276,1469.7624662462622,510.0
296.65811116948885,1535.2590283043683,536.0
309.40292761588574,1604.798601290211,661.0
322.9611848828765,1678.566416675225,738.0
337.3691889901513,1756.757357524708,790.0
352.66535165907896,1839.5759804937989,876.0
368.8901898129173,1927.2364906854928,922.0
386.0863239793224,2019.962642936036,870.0
404.2984747208354,2117.987822795287,975.0
423.57346123407376,2221.5550799872726,1070.0
443.96019103620955,2330.9162516891956,1115.0
465.50963677458435,2446.332914294675,1306.0
488.2748211087388,2568.0753250662237,1040.0
512.3107832120444,2696.422360640019,922.0
537.6745325862393,2831.6610999386758,807.0
564.4249898879713,2974.0863352306187,1096.0
592.6229124286763,3123.9999823123217,997.0
622.3308019057533,3281.7103748042136,1102.0
653.6127918617005,3447.5314311962575,1062.0
686.5345106817908,3621.781556168571,965.0
721.1629224135992,3804.783050905913,982.0
757.5661442938894,3996.8600329235196,696.0
795.8132191639312,4198.337292857468,1026.0
835.9738575931128,4409.538809861988,1180.0
878.1181499540429,4630.785668455064,1174.0
922.3162352893982,4862.393886337057,1251.0
968.6379254400053,5104.672261269763,896.0
1017.1522875510778,5357.919741421938,796.0
1067.9271759908804,5622.422337997705,882.0
1121.0287069694155,5898.450132643804,1063.0
1176.5206891006728,6186.254539368674,973.0
1234.4639875645726,6486.062160663307,921.0
1294.915798829493,6798.0735854916275,1028.0
1357.9289168017783,7122.4584852047265,896.0
1423.5509379924888,7459.349987916648,895.0
1491.8233772859348,7808.840569905937,718.0
1562.7807275740515,8170.976931354031,1072.0
1636.4494661886247,8545.754655271769,930.0
1712.8470070824328,8933.112751103938,1016.0
1791.9806029073854,9332.928040103987,975.0
1873.8462030718285,9745.009455876425,1067.0
1958.427275751449,10169.092318480834,914.0
2045.6936037204648,10604.832654764876,829.0
2135.6000658420458,11051.80164834112,1067.0
2228.0854181409313,11509.480312827975,1142.0
2323.071084685566,11977.254042476416,1337.0
2420.45997793705,12454.408727698028,1262.0
2520.135409825192,12940.128247046843,1273.0
2621.960082308847,13433.487266870216,1217.0
2725.7751176179167,13933.452120147645,1301.0
2831.3992613992764,14438.878506399691,1266.0
2938.6282026263702,14948.5071897991,1261.0
3047.234032286698,15460.97063582018,1396.0
3156.9650593094243,15974.795645348728,1416.0
3267.545874400307,16488.401072014123,1138.0
3378.677553982752,17000.106927055866,1110.0
3490.0381860031252,17508.14066300541,1033.0
3601.2837337876836,18010.64566608891,1264.0
3712.049239489811,18505.6915689772,1248.0
3821.9503776377614,18991.286270686425,1184.0
3930.585367492828,19465.389617444016,1145.0
4037.53724695208,19925.928652971983,1091.0
4142.376503359758,20370.814305025153,1275.0
4244.664048631267,20797.959331713617,987.0
4343.954517108487,21205.297309540212,1278.0
4439.799856184095,21590.80240539927,1430.0
4531.75317081869,21952.509639346972,1374.0
4619.372774204921,22288.53531491384,1415.0
4702.226389459103,22597.09727079328,1273.0
4779.895440100739,22876.534592943266,1247.0
4851.979360774061,23125.326420974918,1411.0
4918.099855897786,23342.10948725231,1588.0
4977.905031115279,23525.694042470306,1607.0
5031.07332205256,23675.077866411768,1711.0
5077.317150559509,23789.458359396085,1594.0
5116.386227483746,23868.240698641166,1703.0
5148.070431255616,23911.046139868908,1499.0
5172.20221661382,23917.713100153953,1495.0
5188.658483326466,23888.30163849797,1750.0
5197.362016507484,23823.095376273617,1798.0
5198.282295505767,23722.58159464039,1821.0
5191.435484465805,23587.46011722833,2006.0
5176.884057096363,23418.626644496806,1868.0
5154.735836042023,23217.16215225961,1686.0
5125.142410801819,22984.314615558833,1885.0
5088.29697727364,22721.4888791712,1868.0
5044.431823634379,22430.22866331879,2126.0
4993.815394588959,22112.19456825033,2194.0
4936.748946965232,21769.150341704488,2029.0
4873.5630073298025,21402.942495946772,2166.0
4804.613507385796,21015.47177222278,1996.0
4730.27765911433,20608.688125402667,2004.0
4650.949980706266,20184.564610283822,2208.0
4567.0382704331705,19745.08140638657,2377.0
4478.95960273352,19292.208455781452,2417.0
4387.13643069489,18827.89155068528,2323.0
4291.992870817406,18354.036749121733,2060.0
4193.951193764218,17872.49965412263,2240.0
4093.4285823372957,17385.072652168572,2149.0
3990.8341356311676,16893.47551595047,3105.0
3886.5661683556273,16399.348199089058,3009.0
3781.009857675407,15904.244971732609,2556.0
3674.5351941589297,15409.625666969456,2430.0
3567.4951750802866,14916.854114943184,2289.0
3460.2244012548285,14427.200509002432,2343.0
3353.0380577979686,13941.832709102891,2514.0
3246.23105875939,13461.819609704427,2637.0
3140.0774662735967,12988.130980395712,2653.0
3034.830182160856,12521.640573337674,2799.0
2930.7209302384263,12063.129580758512,2526.0
2827.9604263827914,11613.284444519319,1986.0
2726.738637910868,11172.70497999899,2242.0
2627.2252737477284,10741.907912401482,1842.0
2529.570391535137,10321.326572143473,2167.0
2433.905093411878,9911.323800370097,2053.0
2340.3424321847356,9512.18993257638,1966.0
2248.9783187994667,9124.150725070387,2009.0
2159.8924577408784,8747.368590726517,1782.0
2073.149285265364,8381.951491212472,1376.0
1988.7990135818634,8027.956824931316,1377.0
1906.8786787932738,7685.3936891146,1578.0
1827.4131302270287,7354.229060094804,1614.0
1750.4160226477882,7034.391791890375,1676.0
1675.8907991328922,6725.77676721476,1500.0
1603.8316441929867,6428.2483124081045,1390.0
1534.22438886385,6141.643851470202,1148.0
1467.0473911240097,5865.778866064735,1178.0
1402.2723837814835,5600.44724008441,1353.0
1339.8652359789417,5345.426458888687,1268.0
1279.7866946438676,5100.479679360054,1314.0
1221.9930836709855,4865.358356880955,1280.0
1166.4369427752786,4639.803651572205,1213.0
1113.067613026727,4423.550280530006,918.0
1061.8318062855396,4216.327430619858,890.0
1012.6741141678336,4017.860148921609,1180.0
965.5374583275054,3827.8714389977977,1108.0
920.36350639348,3646.083494829014,1007.0
877.0930515342786,3472.2190067563206,1235.0
835.6663552406161,3306.0021593300626,1080.0
796.0234525068955,3147.159623924643,821.0
758.1044237045973,2995.4214282575995,751.0
721.8496363137393,2850.5216693934053,931.0
687.1999578287115,2712.199126213789,1154.0
654.096941408358,2580.197790500708,973.0
622.482986742077,2454.2673059720546,1036.0
592.3014782542143,2334.163335266523,816.0
563.496902813339,2219.647857525386,717.0
536.0149483359803,2110.489367012866,668.0
509.80258551113303,2006.463127374649,808.0
484.8081348911076,1907.3511923402548,791.0
460.98131605703065,1812.9423506101593,859.0
438.27328461738426,1723.0325760738924,756.0
416.6366652347225,1637.424699430354,753.0
396.0255704068551,1555.9284423403442,794.0
376.39560892654634,1478.3603883916512,620.0
357.7038874493604,1404.543911085464,808.0
339.90900517488893,1334.3090045358986,842.0
322.97104167199035,1267.492239809595,774.0
306.85154067294224,1203.936601719819,878.0
291.5134894407967,1143.4913502661511,666.0
276.92129307792936,1086.011775026098,573.0
